Section Title (EN),Section Title (RU),Section Title (CIR),Notes (EN),Notes (RU),Notes (CIR),Text (EN),Text (RU),Text (CIR),Text (UK),Text (UZB)
Hoses and Lines,Шланги и линии,Хозез энд Лайнс,,,,Mounted securely,Установлены надежно,Маунтэд сэкюрли,,
Hoses and Lines,Шланги и линии,Хозез энд Лайнс,,,,Not leaking,Не протекают,Нот ликинг,,
Hoses and Lines,Шланги и линии,Хозез энд Лайнс,,,,Not cracked or frayed,Не треснутые и не потертые,Нот крэкд ор фрэйд,,
Chamber,Камера,Чэмбер,,,,Mounted securely,Установлена надежно,Маунтэд сэкюрли,,
Chamber,Камера,Чэмбер,,,,Not dented or damaged,Без вмятен и повреждений,Нот дэнтед ор дэмеджд,,
Chamber,Камера,Чэмбер,,,,Not leaking,Не протекает,Нот ликинг,,
Slack Adjuster,Натяжной винт,Слэк Аджастэр,,,,No more than 1 inch of free play at the push rod with the brakes released,Свободный ход толкателя при отпущенных тормозах не более 1 дюйма.,Но мор зэн ван инч оф фри плэй эт зэ пуш род виз зэ брэйкс рэлисд,,
Slack Adjuster,Натяжной винт,Слэк Аджастэр,,,,"Not bent, broken, loose, or missing parts","Не согнуты, сломаны, ослаблены или отсутствуют части","Нот бэнт, брокэн, лус, ор миссин партс",,
Drums,Барабаны,Драмс,,,,"Not cracked, broken or dented","Без трещин, вмятен, и не сломан","Нот крэкд, брокэн ор дэнтэд",,
Drums,Барабаны,Драмс,,,,"No oil leaking from inner oil seal, free of debris","Нет течи масла из внутреннего сальника, без мусора","Но ойл ликинг фром иннер ойл сил, энд фри оф дэбри",,
