Section Title (EN),Section Title (RU),Section Title (CIR),Notes (EN),Notes (RU),Notes (CIR),Text (EN),Text (RU),Text (CIR),Text (UK),Text (UZB)
Landing Gear,Шасси (опорные ножки),Лэндин гир,,,,Fully raised and handle secure,Полностью подняты и надежно закреплены,Фулли рэйзд энд хэндл сэкюр,,
Landing Gear,Шасси (опорные ножки),Лэндин гир,,,,No missing parts,Нет недостающих частей,Но миссин партс,,
Landing Gear,Шасси (опорные ножки),Лэндин гир,,,,"Support frame not cracked, broken, or damaged","Опорная рама не треснута, не сломана и не повреждена","Супорт фрэйм нот крэкд, броукэн, ор дэмеджд",,
Frame,Рама,Фрэйм,,,,"Not cracked, bent, or damaged","Без трещин, вмятен и повреждений","Нот крэкс, бэндс, ор дэмеджд",,
Frame,Рама,Фрэйм,,,,No missing or damaged cross members,Нет отсутствующих или поврежденных поперечин,Но миссин ор дэмеджд кросс мэмберс,,
Frame,Рама,Фрэйм,,,,No signs of holes or damage to trailer floor,Отсутствие признаков отверстий или повреждений пола трейлера,Но сайнс оф хоулс ор дэмедж ту трэйлер флор,,
Tandem Release,Тандемный релиз,Тандэм Рэлис,,,,Locking pins secure and locked in place,Стопорные штифты надежны и зафиксированы на месте,Локин пинс сэкюр энд локд ин плэйс,,
Tandem Release,Тандемный релиз,Тандэм Рэлис,,,,Release handle is secure,Ручка закреплена надежна,Рэлис хэндл ис сэкюр,,
Lights and Reflectors,Свет и отражатели,Лайтс энд Рэфлекторс,,,,Working and proper color,"В рабочем состоянии, и правильного цвета",Воркин энд пропэр колор,,
Lights and Reflectors,Свет и отражатели,Лайтс энд Рэфлекторс,,,,Amber reflectors on the front and sidesr,Янтарные рэфлекторы на передней и боковой части,Эмбер рэфлекторс он зэ фронт энд сайдс,,
Lights and Reflectors,Свет и отражатели,Лайтс энд Рэфлекторс,,,,Rear edge is red,Крайние задние красные фары,Рэйр эдж из рэд,,
Lights and Reflectors,Свет и отражатели,Лайтс энд Рэфлекторс,,,,"Not broken, cracked, or missing","Без поломок, трещин, присутстуют","Нот броукэн, крэкд, ор миссин",,
