Section Title (EN),Section Title (RU),Section Title (CIR),Notes (EN),Notes (RU),Notes (CIR),Text (EN),Text (RU),Text (CIR),Text (UK),Text (UZB)
Leaf Springs,Рессоры,Лиф Спрингс,,,,Not shifted or out of place,Не смещено или не на своем месте,Нот шифтэд ор аут оф плэйс,,
Leaf Springs,Рессоры,Лиф Спрингс,,,,"Not cracked, broken or missing","Без трещин, поломок, и не отсутствуют","Нот крэкд, броукэн ор миссин",,
Spring Mounts,Крепления подвески,Спринг Маунтс,,,,"Mounted securely - front, back, and U-bolts","Надежно закреплено - спереди, сзади и U-образными болтами","Маунтэд сэкюрли - фронт, бэк, энд Ю-болтс",,
Spring Mounts,Крепления подвески,Спринг Маунтс,,,,"Not cracked, or broken",Без трещин и поломок,"Нот крэкд, ор броукэн",,
Torque Rod,Тяговый стержень,Торк Род,,,,Mounted securely,Установлен надежно,Маунтэд сэкюрли,,
Torque Rod,Тяговый стержень,Торк Род,,,,"Not bent, broken or damaged","Без вмятен, поломок и повреждений","Нот бэнт, броукэн ор дэмеджд",,
Shock Absorber,Амортизатор,Шок Абсорбэр,If Equipped,Если установлен,Иф Эквипд,Mounted securely,Установлен надежно,Маунтэд сэкюрли,,
Shock Absorber,Амортизатор,Шок Абсорбэр,If Equipped,Если установлен,Иф Эквипд,"Not bent, dented or leaking","Не погнут, без вмятен и утечек","Нот бэнт, дэнтед ор ликин",,
Air Bags,Пневматическая подушка,Эйр Бэгс,If Equipped,Если установлена,Иф Эквипд,Mounted securely,Установлена надежно,Маунтэд сэкюрли,,
Air Bags,Пневматическая подушка,Эйр Бэгс,If Equipped,Если установлена,Иф Эквипд,Not leaking,Без утечек,Нот ликин,,
