Section Title (EN),Section Title (RU),Section Title (CIR),Notes (EN),Notes (RU),Notes (CIR),Text (EN),Text (RU),Text (CIR),Text (UK),Text (UZB)
Emergency Equipment,Аварийное оборудование,Эмердженси Эквипмэнт,,,,Minimum three spare electrical fuses (Unless vehicle has circuit breaker),Минимум три запасных электрических предохранителя (если в автомобиле нет автоматического выключателя),Спэйр минимум сри элетрикал фюзес (Анлес вихикл хэз сёркет брэйкер),,
Emergency Equipment,Аварийное оборудование,Эмердженси Эквипмэнт,,,,Three reflective triangles - must be red and in good condition,Три светоотражающих треугольника - должны быть красными и в хорошем состоянии.,Сри рэфлектив трайэнглс - маст би рэд энд ин гуд кандишн,,
Emergency Equipment,Аварийное оборудование,Эмердженси Эквипмэнт,Fire Extinguisher,Огнетушитель,Файр Экстингвишэр,Must be ABC or BC type,Должен быть типа ABC или BC,Маст би ABC (Эй Би Си) ор BC (Би Си) тайп,,
Emergency Equipment,Аварийное оборудование,Эмердженси Эквипмэнт,Fire Extinguisher,Огнетушитель,Файр Экстингвишэр,Fully charged,Полностью заряжен,Фули чарджд,,
Emergency Equipment,Аварийное оборудование,Эмердженси Эквипмэнт,Fire Extinguisher,Огнетушитель,Файр Экстингвишэр,Safety pin must be present,Должна присутствовать булавка,Сэйфти пин маст би прэзент,,
Emergency Equipment,Аварийное оборудование,Эмердженси Эквипмэнт,Fire Extinguisher,Огнетушитель,Файр Экстингвишэр,Sticker must be valid,Наклейка должна быть действительной,Стикэр маст би валид,,
Emergency Equipment,Аварийное оборудование,Эмердженси Эквипмэнт,Fire Extinguisher,Огнетушитель,Файр Экстингвишэр,Securely mounted,Надежно установлена,Сэкюрли маунтэд,,
Safety Belt,Ремень безопасности,Сэйфти Бэлт,,,,Latches securely,Защелкнут надежно,Латчэс сэкюрли,,
Safety Belt,Ремень безопасности,Сэйфти Бэлт,,,,Mounted securely,Установлен надежно,Маунтэд сэкюрли,,
Steering Wheel,Руль,Стиринг Уил,,,,No more than 10 degrees or 2 inches of free play,Не более 10 градусов или 2 дюйма свободного хода,Но мор зэн 10 дигрис ор 2 инчес оф фри плэй,,
Clutch Pedal,Педаль сцепления,Клатч педал,,,,Engages and disengages smoothly,Включается и отключается плавно,Энгэйджэс энд дисэнгэйджэс смуфли,,
Clutch Pedal,Педаль сцепления,Клатч педал,,,,Free play maximum 1.5 inch,Максимальный свободный ход 1.5 дюйма,Фри плэй максимум 1.5 инч,,
Clutch Pedal,Педаль сцепления,Клатч педал,,,,Rubbered,Уплотненая,Рабберд,,
Foot (Service) brake,Тормоз (сервисный),Фут (Сервис) брэйк,,,,No stick to the floor,Не прилипает к полу,Но стик ту зе флор,,
Foot (Service) brake,Тормоз (сервисный),Фут (Сервис) брэйк,,,,Rubbered,Уплотненный,Рабберд,,
Accelerator,Педаль Ускорения,Акселерэйтор,,,,Doesn't stick to the floor,Не прилипает к полу,Дазнт стик ту зе флор,,
Shifter,Рычаг переключения передач,Шифтер,,,,Moves in and out of gear properly,Переключается в передачи правильно,Мувс ин энд аут оф гир пропэрли,,
Shifter,Рычаг переключения передач,Шифтер,,,,Range selector works,Регулятор диапазона работает,Рэндж селектор воркс,,
Water Temp Gauge,Водяной термометр,Вотэр тэмп гоудж,,,,Gauge is working (170 - 210 degrees),Термометр работает (170 - 210 градусов),Гоудж из воркинг (170 - 210 дигрис),,
Oil Pressure Gauge,Термометр давления масла,Оил прешр гоудж,,,,Gauge is working properly,Термометр работает правильно,Гоудж из воркинг пропэрли,,
Oil Pressure Gauge,Термометр давления масла,Оил прешр гоудж,,,,Normal oil pressure (20 - 45 PSI),Нормальное давление масла (20 - 45 ПСИ),Нормал оил прешр (20 - 45 ПИ ЭС АЙ),,
Oil Pressure Gauge,Термометр давления масла,Оил прешр гоудж,,,,Check that the warning light goes out,"Проверьте, что предупреждающий свет выключается",Чек зэт зе ворнинг лайт гоуз аут,,
Ammeter/Votmeter,Амперметр/Вольтметр,Амметер/Вотметер,,,,Gauge shows 12 - 14 volts,Термометр показывает 12 - 14 вольт,Гоудж шоуз 12 - 14 волтс,,
Lighting Indicators,Индикаторы освещения,Лайтинг индикэйторс,,,,Left and right turn signal,Сигнал поворота влево и вправо,Лефт энд райт торн сигнал,,
Lighting Indicators,Индикаторы освещения,Лайтинг индикэйторс,,,,4-way flashers,Аварийные фары,Фор вэй флашэрс,,
Lighting Indicators,Индикаторы освещения,Лайтинг индикэйторс,,,,High beam indicator,Индикатор дальнего света,Хай бим индикэйтор,,
Horns,Сигнал,Хорнс,,,,Electric (Street) horn works properly,Электрический (уличный) сигнал работает правильно,Электрик (Стрит) хорн воркс пропэрли,,
Horns,Сигнал,Хорнс,,,,Air horn works properly,Воздушный сигнал работает правильно,Эйр хорн воркс пропэрли,,
Heater and Defroster,Обогреватель и дефростер,Хитр энд Дефростер,,,,Move switch from heat to defrost,Переключите переключатель с тепла на дефрост,Мув свич фром хит ту дефрост,,
Heater and Defroster,Обогреватель и дефростер,Хитр энд Дефростер,,,,Check for air flow,Проверьте поток воздуха,Чек фор эйр флоу,,
Windshield,Лобовое стекло,Виндшилд,,,,Clean and free of obstruction,Чистое и свободное для обозрения,Клин энд фри оф обстракшн,,
Windshield,Лобовое стекло,Виндшилд,,,,Not cracked or broken,Не треснуто или не сломано,Нот крэкд ор брокен,,
Wipers and Washer,Стеклоочистители и стеклоомыватели,Вайперс энд Вашер,,,,Working,Работают,Воркинг,,
Wipers and Washer,Стеклоочистители и стеклоомыватели,Вайперс энд Вашер,,,,Mounted securely to wiper arm,Установлены надежно на рычаг стеклоочистителя,Маунтэд сэкурли ту вайпер арм,,
Wipers and Washer,Стеклоочистители и стеклоомыватели,Вайперс энд Вашер,,,,Rubber not torn,Резина не разорвана,Раббэр нот торн,,
Wipers and Washer,Стеклоочистители и стеклоомыватели,Вайперс энд Вашер,,,,Washer sprays properly,Спрей стеклоомывателя работает правильно,Вашер спрэйс пропэрли,,
Mirrors,Зеркала,Миррорс,,,,Clean,Чистые,Клин,,
Mirrors,Зеркала,Миррорс,,,,Adjusted,Отрегулированы,Аджастед,,
