Section Title (EN),Section Title (RU),Section Title (CIR),Notes (EN),Notes (RU),Notes (CIR),Text (EN),Text (RU),Text (CIR),Text (UK),Text (UZB)
Air leak test (static),Тест утечки воздукха (статичный),Эйр лик тэст (статик),,,,1. Air pressure must be maximum (120-130 PSI),1. Давление воздуха должно быть максимальным (120-130 PSI),"1. Эйр прешр маст би максимум (битвин ван хандрэт твэнти, энд ван хандрэт серти PSI (Пи Эс Ай)",,
Air leak test (static),Тест утечки воздукха (статичный),Эйр лик тэст (статик),,,,2. Transmition: 1st gear,2. Трансмиссия: 1-я передача,2. Трансмишн: фёрст гир,,
Air leak test (static),Тест утечки воздукха (статичный),Эйр лик тэст (статик),,,,3. Turn engine OFF,3. Выключить двигатель,3. Тёрн энджн ОФФ,,
Air leak test (static),Тест утечки воздукха (статичный),Эйр лик тэст (статик),,,,"4. Release parking brakes (yellow, red knobs IN)","4. Отпустить парковочный тормоз (желтый, красный рычаг внутрь)","4. Рэлис паркин брэйкс (йелоу, рэд нобс ИН)",,
Air leak test (static),Тест утечки воздукха (статичный),Эйр лик тэст (статик),,,,"5. Do not touch break pedal, wait one minute, check air pressure loss is no more then 3 PSI","5. Не касаться педали тормоза, подождать минуту, проверить потерю давления воздуха не более 3 PSI","5. Ду нот тач брэйк пэдл, вэйт ван минут, чэк эйр прэшр лос ис но мор зэн сри PSI (Пи Эс Ай)",,
Air leak test (applied),Тест утечки воздуха (примененный),Эйр лик тест (эплайд),,,,1. Air pressure must be minimum of 90 PSI,1. Давление воздуха должно быть минимум 90 PSI,1. Эйр прешр маст би минимум оф найнти PSI (Пи Эс Ай),,
Air leak test (applied),Тест утечки воздуха (примененный),Эйр лик тест (эплайд),,,,2. Transmition: 1st gear,2. Трансмиссия: 1-я передача,2. Трансмишн: фёрст гир,,
Air leak test (applied),Тест утечки воздуха (примененный),Эйр лик тест (эплайд),,,,"3. Engine is OFF, ignition is ON","3. Двигатель выключен, зажигание включено","3. Энджен ис ОФФ, игнишн ис ОН",,
Air leak test (applied),Тест утечки воздуха (примененный),Эйр лик тест (эплайд),,,,"4. Release parking brakes (yellow, red knobs IN)","4. Отпустить парковочный тормоз (желтый, красный рычаг внутрь)","4. Рэлисд паркин брэйкс (йелоу, рэд нобс ИН)",,
Air leak test (applied),Тест утечки воздуха (примененный),Эйр лик тест (эплайд),,,,5. Depress and hold break pedal one minute air leakage must be not more then 4 PSI,"5. Нажать и удерживать педаль тормоза минуту, утечка воздуха не должна быть более 4 PSI",5. Дэпрес энд холд брэйк пэдал ван минут эйр ликэдж маст би нот мор зэн фор PSI (Пи Эс Ай),,
Spring brake pop-out test,Тест выхода пружинного тормоза,Спринг брэйк поп-аут тест,,,,1. Air pressure must be minimum 60 PSI,1. Давление воздуха должно быть минимум 60 PSI,1. Эйр прешр маст би минимум сиксти PSI (Пи Эс Ай),,
Spring brake pop-out test,Тест выхода пружинного тормоза,Спринг брэйк поп-аут тест,,,,2. Transmition: 1st gear,2. Трансмиссия: 1-я передача,2. Трансмишн: фёрст гир,,
Spring brake pop-out test,Тест выхода пружинного тормоза,Спринг брэйк поп-аут тест,,,,"3. Engine is OFF, ignition is ON","3. Двигатель выключен, зажигание включено","3. Энджен ис ОФФ, игнишн ис ОН",,
Spring brake pop-out test,Тест выхода пружинного тормоза,Спринг брэйк поп-аут тест,,,,"4. Release parking brakes (yellow, red knobs IN)","4. Отпустить парковочный тормоз (желтый, красный рычаг внутрь)","4. Рэлисд паркин брэйкс (йелоу, рэд нобс ИН)",,
Spring brake pop-out test,Тест выхода пружинного тормоза,Спринг брэйк поп-аут тест,,,,"5. Pump brake pedal, release (fan down)","5. Нажать педаль тормоза, отпустить (вентилятор вниз)","5. Памп брэйк пэдал, рэлис (фэн даун)",,
