Section Title (EN),Section Title (RU),Section Title (CIR),Notes (EN),Notes (RU),Notes (CIR),Text (EN),Text (RU),Text (CIR),Text (UK),Text (UZB)
Water Pump,Водяная помпа,Вотер памп,,,,Mounted Securely,Установлена правильно,Маунтэд секюрли,,
Water Pump,Водяная помпа,Вотер памп,,,,No missing bolts or parts,Нет недостающих болтов или деталей,Но миссин болтс ор партс,,
Water Pump,Водяная помпа,Вотер памп,,,,Hoses attached securely,Шланги надежно закреплены,Хоузез аттачд скекюрли,,
Water Pump,Водяная помпа,Вотер памп,,,,No leaking hoses or water pump,Нет протекающих шлангов или нет утечки в водяном насосе,Но ликинг хоузез ор вотер памп,,
Water Pump,Водяная помпа,Вотер Памп,Belts,Ремни,Бэлтс,No more than 3/4 inch of play,Не более 3/4 дюйма люфта,Но мор зэн сри квортэрс инч оф плэй,,
Water Pump,Водяная помпа,Вотер Памп,Belts,Ремни,Бэлтс,"Not cracked, frayed, or damaged","Не треснута, не потерта и не повреждена","Нот крэкд, фрэйд, ор дэмеджд",,
Alternator,Генератор,Алтэрнейтор,,,,Mounted Securely,Установлен правильно,Маунтэд секюрли,,
Alternator,Генератор,Алтэрнейтор,,,,No missing bolts or parts,Нет недостающих болтов или деталей,Но миссин болтс ор партс,,
Alternator,Генератор,Алтэрнейтор,,,,"Wires in good connections, not frayed","Провода в хорошем соединении, не перетертые","Ваерс ин гуд кондишн, нот фрэйд",,
Alternator,Генератор,Алтэрнейтор,Belts,Ремни,Бэлтс,No more than 3/4 inch of play,Не более 3/4 дюйма люфта,Но мор зэн сри квортэрс инч оф плэй,,
Alternator,Генератор,Алтэрнейтор,Belts,Ремни,Бэлтс,"Not cracked, frayed, or damaged","Не треснуты, не потерты и не повреждены","Нот крэкд, фрэйд, ор дэмеджд",,
Oil Level,Уровень масла,Ойл Лэвел,,,,Check the level and condition with the deep stick,Проверьте уровень и состояние масла с помощью измерительного щупа,Чек зэ лэвел энд кондишн виз зэ дип стик,,
Hoses and Wiring,Шланги и проводка,Хоузез энд Вайринг,,,,"Not cracked, frayed, or broken","Не треснуты, не потерты и не сломалны","Нот крэкд, фрэйд, ор броукэн",,
Hoses and Wiring,Шланги и проводка,Хоузез энд Вайринг,,,,Belts no more than 3/4 inch of play,Ремни не более 3/4 дюйма люфта,Бэлтс но мор зэн сри квортэрс оф плэй,,
Hoses and Wiring,Шланги и проводка,Хоузез энд Вайринг,,,,Hoses not leaking,Шланги не протекают,Хоузез нот ликинг,,
