Section Title (EN),Section Title (RU),Section Title (CIR),Notes (EN),Notes (RU),Notes (CIR),Text (EN),Text (RU),Text (CIR),Text (UK),Text (UZB)
Hoses and Lines,Шланги и линии,Хоузез энд лайнс,,,,Mounted securely,Установлены надежно,Моунтэд секюрли,,
Hoses and Lines,Шланги и линии,Хоузез энд лайнс,,,,Not leaking,Нет утечек,Нот ликинг,,
Hoses and Lines,Шланги и линии,Хоузез энд лайнс,,,,Not cracked or frayed,Нет трещин или потертостей,Нот крэкд ор фрэйд,,
Chamber,Цилиндр,Чэмбер,,,,Mounted securely,Установлен надежно,Моунтэд секюрли,,
Chamber,Цилиндр,Чэмбер,,,,Not dented or damaged,Не помят и не поврежден,Нот дэнтед ор дэмэджд,,
Chamber,Цилиндр,Чэмбер,,,,Not leaking,Не протекает,Нот ликинг,,
Slack Adjuster,Натяжной винт,Слэк эджастэр,,,,No more than 1 inch of free play at the push rod with the brakes released,Свободный ход толкателя при отпущенных тормозах не более 1 дюйма.,Но мор зэн 1 инч оф фри плэй эт зэ пуш род виз зэ брейкс рэлисд,,
Slack Adjuster,Натяжной винт,Слэк эджастэр,,,,"Not bent, broken, loose, or missing parts","Не согнут, не сломан, не ослаблен или не отсутствуют части","Нот бэнт, броукэн, лус, ор миссин партс",,
Drums,Барабаны,Драмс,,,,"Not cracked, broken or dented","Не треснуты, не сломаны и не помяты","Нот крэкд, броукэн ор дэнтед",,
Drums,Барабаны,Драмс,,,,"No oil leaking from inner oil seal, free of debris","Нет течи масла из внутреннего сальника, без мусора","Но ойл ликинг фром иннэр ойл сил, фри оф дэбри",,
Linings,Прокладки,Лайнингс,,,,"No cracked, broken or missing parts","Нет треснутых, сломанных или недостающих частей","Но крэкд, броукэн ор миссин партс",,
Linings,Прокладки,Лайнингс,,,,Not less than 1/4 inch in thickness,Толщина не менее 1/4 дюйма,Нот лэс зэн ван квортэр инч ин сикнэс,,
