Section Title (EN),Section Title (RU),Section Title (CIR),Notes (EN),Notes (RU),Notes (CIR),Text (EN),Text (RU),Text (CIR),Text (UK),Text (UZB)
Electric and air lines,Электрические и воздушные линии,Электрик энд эйр лайнс,Line colors,Цвета линий,Лайн каларс,Emergency line - red color,Аварийная линия - красный цвет,Эмердженси лайн - рэд калар,,
Electric and air lines,Электрические и воздушные линии,Электрик энд эйр лайнс,Line colors,Цвета линий,Лайн каларс,Service line - blue color,Сервисная линия - синий цвет,Сэрвис лайн - блу калар,,
Electric and air lines,Электрические и воздушные линии,Электрик энд эйр лайнс,Line colors,Цвета линий,Лайн каларс,Electric line - green or black color,Электрическая линия - зеленый или черный цвет,Электрик лайн - грин ор блэк калар,,
Electric and air lines,Электрические и воздушные линии,Электрик энд эйр лайнс,,,,Lines should not be crossed,Линии не должны пересекаться,Лайнс шуд нот би кросд,,
Electric and air lines,Электрические и воздушные линии,Электрик энд эйр лайнс,,,,Lines should not be touching any part of the tractor or trailer,Линии не должны касаться какой-либо части трака или трейлера.,Лайнс шуд нот би тачинг эни парт оф зэ трактор ор трэйлер,,
Electric and air lines,Электрические и воздушные линии,Электрик энд эйр лайнс,,,,"Lines should be in good condition, no cuts, nothing broken","Линии должны быть в хорошем состоянии, без порезов, без поломок","Лайнс шуд би ин гуд кандишн, но катс, насинг броукэн",,
Electric and air lines,Электрические и воздушные линии,Электрик энд эйр лайнс,Glad hand,Шланговый соединитель,Глэд хэнд,Rubber seal must be soft,Резиновое уплотнение должно быть мягким,Раббер сил маст би софт,,
Electric and air lines,Электрические и воздушные линии,Электрик энд эйр лайнс,Glad hand,Шланговый соединитель,Глэд хэнд,No cuts and damages inside,Без трещин и повреждений внутри,Но катс энд дэмеджес инсайд,,
Electric and air lines,Электрические и воздушные линии,Электрик энд эйр лайнс,Glad hand,Шланговый соединитель,Глэд хэнд,"Should be clean, no oil, no water, no dirt","Должен быть чистым, без масла, без воды, без грязи","Шуд би клин, но ойл, но вотэр, но дёрт",,
Electric and air lines,Электрические и воздушные линии,Электрик энд эйр лайнс,Electric plug,Электрическая вилка,Электрик плаг,Must be in good condition,Должен быть в хорошем состоянии,Маст би ин гуд кондишн,,
Electric and air lines,Электрические и воздушные линии,Электрик энд эйр лайнс,Electric plug,Электрическая вилка,Электрик плаг,No corrosion inside and no missing parts inside the male connection,Отсутствие коррозии внутри и отсутствие недостающих деталей внутри штекерного соединения,Но короужн инсайд энд но миссинг партс инсайд зэ мэйл коннекш,,
Electric and air lines,Электрические и воздушные линии,Электрик энд эйр лайнс,Electric plug,Электрическая вилка,Электрик плаг,The plug must be locked,Вилка должна быть защелкнута,Зэ плаг маст би локд,,
Battery box,Коробка батареи,Батэри бокс,,,,Must be well attached to the frame,Должна быть хорошо прикреплена к раме,Маст би вэл аттачд ту зэ фрэйм,,
Battery box,Коробка батареи,Батэри бокс,,,,Always securely locked while driving,Всегда надежно заперта во время вождения,Олвэйс сэкюрли локд уайл драйвинг,,
Battery,Батарея,Батэри,,,,No leaks from battery,Отсутствие утечек из аккумулятора,Но ликс фром батэри,,
Battery,Батарея,Батэри,,,,No corrosion on the terminals,Отсутствие коррозии на клеммах,Но короужн он зэ тэрминалс,,
Catwalk,Помост,Кэтвок,,,,Catwalk is solid,Помост твердый,Кэтвок ис солид,,
Catwalk,Помост,Кэтвок,,,,Steps securely bolted to tractor frame,Ступени надежно крепятся болтами к раме трака,Стэпс сэкюрли болтэд ту трактор фрэйм,,
Catwalk,Помост,Кэтвок,,,,"Free of oil, grease, snow and ice","Без масла, смазки, снега и льда","Фри оф ойл, грис, сноу энд айс",,
Frame,Рама,Фрэм,,,,"Not cracked, or damaged",Без трещин и повреждений,Нот крэкд ор дэмеджд,,
Frame,Рама,Фрэм,,,,No missing bolts,Без недостающих болтов,Но миссин болтс,,
Frame,Рама,Фрэм,,,,No illegal welds,Без незаконных сварочных швов,Но иллигал уэлдс,,
Drive Shaft,Приводной вал,Драйв шафт,,,,"Not bent, or damaged",Не согнут и не поврежден,"Нот бэнт, ор дэмеджд",,
Drive Shaft,Приводной вал,Драйв шафт,,,,"Coupling, U-joints appear secure","Муфта, U-образные соединения выглядат надежно","Каплинг, ю-джойнтс апир сэкюрли",,
Exhaust System,Выхлопная система,Экзост Систэм,,,,Securely mounted,Надежно установлен,Сэкюрли моунтэд,,
Exhaust System,Выхлопная система,Экзост Систэм,,,,Not dented or damaged,Без вмятен и повреждений,Нот дэнтэд ор дэмеджд,,
Exhaust System,Выхлопная система,Экзост Систэм,,,,Not leaking,Не протекает,Нот ликинг,,
